[(2938, 1045), (3711, 624), 'Turn Left', '214_77_173']
[(2939, 995), (2734, 659), 'Turn Right', '77_214_144']
[(2941, 1042), (3711, 624), 'Turn Left', '214_77_173']
[(2942, 992), (2734, 659), 'Turn Right', '77_214_144']
[(2943, 1040), (3711, 624), 'Turn Left', '214_77_173']
[(2944, 989), (2734, 659), 'Turn Right', '77_214_144']
[(2946, 1037), (3711, 624), 'Turn Left', '214_77_173']
[(2947, 987), (2734, 659), 'Turn Right', '77_214_144']
[(2949, 1034), (3711, 624), 'Turn Left', '214_77_173']
[(2950, 984), (2734, 659), 'Turn Right', '77_214_144']
[(2952, 1031), (3711, 624), 'Turn Left', '214_77_173']
[(2953, 981), (2734, 659), 'Turn Right', '77_214_144']
[(2955, 1028), (3711, 624), 'Turn Left', '214_77_173']
[(2956, 978), (2734, 659), 'Turn Right', '77_214_144']
[(2958, 1026), (3711, 624), 'Turn Left', '214_77_173']
[(2959, 975), (2734, 659), 'Turn Right', '77_214_144']
[(2960, 1023), (3711, 624), 'Turn Left', '214_77_173']
[(2961, 973), (2734, 659), 'Turn Right', '77_214_144']
[(2963, 1020), (3711, 624), 'Turn Left', '214_77_173']
[(2964, 970), (2734, 659), 'Turn Right', '77_214_144']
[(2966, 1017), (3711, 624), 'Turn Left', '214_77_173']
[(2967, 967), (2734, 659), 'Turn Right', '77_214_144']
[(2969, 1014), (3711, 624), 'Turn Left', '214_77_173']
[(2970, 964), (2734, 659), 'Turn Right', '77_214_144']
